photo,lieu,latitude,longitude,month,year,x,y,Mean IoU,Class 1 IoU,Class 2 IoU,Mean Acc,Class 1 Acc,Class 2 Acc,LowMeanIoU,LowClass1Iou,LowClass2IoU,LowMeanAcc,LowClass1Acc,LowClass2Acc,MeanIoULight,Class1IoULight,Class2IoULight,MeanAccLight,Class1AccLight,Class2AccLight,difficulty
041_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.149462349,0.027326732,0.271597967,0.111710088,0.011786512,0.211633663,0.69685336,0.949889759,0.443816962,0.752093241,0.986672939,0.517513544,0.84631571,0.97721649,0.715414929,0.863803329,0.998459451,0.729147207,easy
039_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.147666887,0.022892624,0.272441149,0.138986682,-0.000709161,0.278682525,0.704010717,0.952685811,0.455335622,0.728047839,0.999810225,0.456285453,0.851677603,0.975578435,0.727776771,0.867034521,0.999101064,0.734967978,easy
021_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.164047731,0.004899777,0.323195684,0.162116908,0.000201512,0.324032303,0.541954723,0.986524218,0.097385228,0.549529447,0.999699383,0.09935951,0.706002454,0.991423995,0.420580913,0.711646354,0.999900896,0.423391813,easy
018_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2010,0.21262765,0.555901475,0.072507458,0.010779394,0.134235522,0.044068199,0.005872172,0.082264225,0.834778534,0.977454172,0.692102897,0.90849746,0.98776314,0.829231781,0.907285992,0.988233565,0.826338419,0.952565659,0.993635312,0.911496006,easy
017_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2010,0.21262765,0.555901475,0.124313238,0.040153446,0.208473029,0.0780636,0.023049856,0.133077344,0.768074797,0.930837232,0.605312362,0.864921659,0.961608989,0.768234328,0.892388034,0.970990678,0.813785391,0.942985259,0.984658846,0.901311672,easy
014_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2010,0.21262765,0.555901475,0.064560405,0.046947308,0.082173502,0.034081368,0.033965372,0.034197365,0.829844529,0.882060578,0.777628479,0.907847143,0.933440133,0.882254154,0.894404934,0.929007886,0.859801981,0.941928512,0.967405504,0.916451519,easy
006_rgb.png,Letia - Corse,42.1905264,8.8467517,10,2009,0.21262765,0.555901475,0.032030318,0.00153473,0.062525906,0.045046303,-0.00100752,0.091100127,0.832556586,0.9905399,0.674573272,0.849213354,0.998956497,0.69947021,0.864586904,0.99207463,0.737099178,0.894259657,0.997948976,0.790570338,easy
005_rgb.png,Letia - Corse,42.1905264,8.8467517,11,2010,0.21262765,0.555901475,0.150544539,0.035861636,0.265227442,0.118896507,0.012687881,0.225105132,0.746620446,0.942200728,0.551040165,0.819310654,0.977805254,0.660816055,0.897164985,0.978062365,0.816267606,0.938207161,0.990493134,0.885921187,easy
106_rgb.png,Lama,42.4226,9.3073,10,2013,0.866063289,0.767706635,0.132557448,0.063835283,0.201279613,0.10130754,0.031293819,0.171321261,0.708722728,0.868031023,0.549414433,0.833939745,0.916980607,0.750898883,0.841280176,0.931866306,0.750694046,0.935247285,0.948274426,0.922220144,easy
105_rgb.png,Lama,42.4226,9.3073,10,2013,0.866063289,0.767706635,0.021586384,0.003508236,0.039664532,0.047430531,-0.011539832,0.106400893,0.817577925,0.942727752,0.692428097,0.917713849,0.960416116,0.875011582,0.839164309,0.946235988,0.732092629,0.96514438,0.948876285,0.981412475,easy
